parameters,,EncTimeMean,EncTimeStdev,,WaitTimeMean,WaitTimestdev,,SendTimeMean,SendTimestdev,,DecTimeMean,DecTimeStdev
"(16, 2, 4, 1500, 1500, 1500)",,1.5504286527633666,0.0013084780244151393,,1.4544430255889893,0.0016438063913380501,,1.8395311832427979,0.0006896392735864885,,0.8340368628501892,0.0009749565084278838
"(16, 3, 4, 1500, 1500, 1500)",,1.3768810987472535,0.00688157125125897,,0.9704564452171326,0.0019046086112792038,,1.431479287147522,0.0008366722661895258,,0.5649700999259949,0.00046564399316696844
"(16, 15, 1, 1500, 1500, 1500)",,1.915962040424347,0.0016878048459741753,,0.7771867990493775,0.0005636105601956878,,2.614408719539642,0.000720084398569499,,0.45810813903808595,0.00040377337990297443
"(16, 5, 3, 1500, 1500, 1500)",,1.3230398178100586,0.0017473961983760714,,0.7780321836471558,0.002567549887989182,,1.3093266129493712,0.0007056865596295765,,0.45765469074249265,0.00029479860099044754
"(16, 3, 3, 1500, 1500, 1500)",,1.464084017276764,0.0038005844155517632,,1.2937840700149537,0.001217330620298059,,1.6356024146080017,0.0007087292847830319,,0.7442292332649231,0.0005590714944258828
"(16, 2, 2, 1500, 1500, 1500)",,1.8480215191841125,0.02189069292136378,,2.911220920085907,0.004078838133610029,,2.451405417919159,0.001784205614615205,,1.646378743648529,0.005666575852642566
"(32, 4, 4, 1500, 1500, 1500)",,2.5737242817878725,0.0012720970445312368,,0.8811741709709168,0.001200759910941298,,2.452925741672516,0.000417400088932994,,1.0666626572608948,0.0003141512790078363
"(32, 4, 2, 1500, 1500, 1500)",,3.1418154358863832,0.03559349043350551,,1.7640173316001893,0.003267888683749182,,3.6769744038581846,0.0020622518248741978,,2.0913840770721435,0.00848416356720047
"(32, 4, 3, 1500, 1500, 1500)",,2.7538623094558714,0.0050984451872695315,,1.175089180469513,0.0014480432513823728,,2.861096978187561,0.00040610129820220655,,1.3980791807174682,0.0008739381402341812
"(32, 4, 5, 1500, 1500, 1500)",,2.4724605202674867,0.0012852643887905368,,0.7052297353744507,0.0008788047442064016,,2.208330285549164,0.0004716115612385075,,0.8608473420143128,0.00028725360514042395
"(32, 5, 5, 1500, 1500, 1500)",,2.3617787957191467,0.0014453455168922393,,0.5655971527099609,0.0025680668774534696,,1.9633036136627198,0.0003931066835741663,,0.6956513047218322,0.0004289745386991197
"(32, 6, 6, 1500, 1500, 1500)",,2.2279593706130982,0.0028123216229566446,,0.3941357254981995,0.0032344651422210055,,1.6369724154472352,0.0004049355315037924,,0.4878255367279053,0.000493870905217552
"(64, 7, 8, 1500, 1505, 1504)",,4.20369998216629,0.007137866836494134,,0.34193925857543944,0.000723146115158719,,2.638933801651001,0.000653490024945617,,0.7415481805801392,0.0006747280706585232
"(64, 4, 8, 1500, 1500, 1504)",,4.642870509624482,0.006766000567378565,,0.5975565075874328,0.0041043090170326015,,3.6830812215805055,0.0005061938838905952,,1.3122132062911986,0.000565212897902679
"(64, 4, 4, 1500, 1500, 1500)",,5.155671727657318,0.008229603523602115,,1.204057788848877,0.05335721524743753,,4.903531241416931,0.0008573769671824321,,2.533148241043091,0.0013494730095602629
"(64, 4, 2, 1500, 1500, 1500)",,6.258714032173157,0.07209293388740692,,2.3747151374816893,0.00245992223550148,,7.351253020763397,0.0027715029820019267,,4.980597019195557,0.010473177239910347
"(64, 4, 3, 1500, 1500, 1500)",,5.514226818084717,0.00731572909441406,,1.5825737118721008,0.001434224752944922,,5.719393241405487,0.0006586485043088721,,3.318896806240082,0.0017691071531521772
"(64, 7, 9, 1500, 1505, 1503)",,4.150817108154297,0.015791464727210804,,0.3044190168380737,0.0012859342104247606,,2.5020747423171996,0.0006535244904492799,,0.6591169834136963,0.00043203192324691835
"(64, 4, 6, 1500, 1500, 1500)",,4.805806481838227,0.03149690222895067,,0.7919546008110047,0.0008946818624128835,,4.0877781987190245,0.0005667066559357148,,1.7185859441757203,0.0007845139492764923
"(64, 6, 8, 1500, 1500, 1504)",,4.292563331127167,0.006961224919610021,,0.39745784997940065,0.0009125397713138556,,2.8675883531570436,0.0005111001970329777,,0.8668901920318604,0.0006922879423214754
"(128, 11, 10, 1500, 1507, 1500)",,7.837618732452393,0.004656419568191559,,0.265093195438385,0.004048037589166291,,3.7614815831184387,0.0003547145475850737,,0.8675272583961486,0.0013099788771034416
"(128, 11, 12, 1500, 1507, 1500)",,7.741583502292633,0.034545495001973105,,0.22485873699188233,0.018195839752391307,,3.434916090965271,0.0005274773459651382,,0.728413724899292,0.00042061175401051753
"(128, 9, 10, 1500, 1503, 1500)",,7.979906463623047,0.025617495355298805,,0.365633499622345,0.05342265532724741,,4.15285609960556,0.0004853145251544431,,1.061236608028412,0.0009421834671266803
"(128, 9, 11, 1500, 1503, 1507)",,7.912992286682129,0.020291936259880763,,0.3562988877296448,0.06539079222302037,,3.9831950545310972,0.00048817554248302934,,0.9666780471801758,0.0015765203193581234
"(128, 9, 9, 1500, 1503, 1503)",,8.041575944423675,0.00907145912536129,,0.4019633650779724,0.04008144376659971,,4.374922525882721,0.0004974149215472815,,1.1858104586601257,0.0003818508135940821
"(128, 12, 10, 1500, 1500, 1500)",,7.790701007843017,0.02863591320288672,,0.24705986976623534,0.017555635232547523,,3.6047934770584105,0.0003648694026326051,,0.7941323280334472,0.0011684061284482547
"(128, 9, 8, 1500, 1503, 1504)",,8.178783547878265,0.020560952648219884,,0.4563870668411255,0.012108917928904688,,4.6491045475006105,0.0007017678996362972,,1.3438738465309144,0.001186679178280963
"(128, 18, 7, 1500, 1512, 1505)",,8.050166070461273,0.03280648579208092,,0.23612380027770996,0.015855353736597595,,3.917948281764984,0.0004494139874280342,,0.7669664859771729,0.00046772494147174907
"(128, 8, 8, 1500, 1504, 1504)",,8.304507458209992,0.07589868959873763,,0.4822869777679443,0.007343219582103088,,4.924219155311585,0.004892712941443942,,1.5085226774215699,0.009409377566660517
